##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR2584863_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1553259
Total Bases	232.9 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.794664637385004	34.0	31.0	34.0	31.0	34.0
2	32.996494467439106	34.0	31.0	34.0	31.0	34.0
3	33.106470974898585	34.0	33.0	34.0	31.0	34.0
4	36.56122192113485	37.0	37.0	37.0	35.0	37.0
5	36.510413266557606	37.0	37.0	37.0	35.0	37.0
6	36.515981558774165	37.0	37.0	37.0	35.0	37.0
7	36.48596145266179	37.0	37.0	37.0	35.0	37.0
8	36.477944760017486	37.0	37.0	37.0	35.0	37.0
9	38.2843022316304	39.0	39.0	39.0	37.0	39.0
10-14	38.55459688306972	39.4	39.2	39.4	37.2	39.4
15-19	39.75673715716439	41.0	40.0	41.0	38.0	41.0
20-24	39.620621158480326	41.0	40.0	41.0	37.2	41.0
25-29	39.36199333144054	40.8	39.0	41.0	36.6	41.0
30-34	39.16608550151649	40.0	39.0	41.0	36.0	41.0
35-39	38.9167449858652	40.0	38.6	41.0	35.2	41.0
40-44	38.51267006983382	40.0	37.8	41.0	34.8	41.0
45-49	37.78774924207746	39.4	36.4	41.0	33.8	41.0
50-54	36.93586246723824	38.0	35.0	40.4	33.0	41.0
55-59	35.942538108583314	36.2	35.0	39.2	32.6	41.0
60-64	34.97134219083874	35.0	35.0	37.4	31.8	39.8
65-69	34.18954559413466	35.0	34.0	35.8	31.0	38.4
70-74	33.61704622345662	35.0	34.0	35.0	30.4	36.6
75-79	33.17265027918718	35.0	33.6	35.0	29.8	35.8
80-84	32.84434881755071	35.0	33.0	35.0	29.0	35.0
85-89	32.55477148369975	35.0	33.0	35.0	29.0	35.0
90-94	32.25833309190547	35.0	33.0	35.0	27.4	35.0
95-99	31.99092862169156	35.0	33.0	35.0	27.0	35.0
100-104	31.262567929752862	33.6	31.4	34.6	25.4	35.0
105-109	32.063897263753184	35.0	33.0	35.0	27.0	35.0
110-114	31.865548759092974	35.0	33.0	35.0	27.0	35.0
115-119	31.473209812400892	34.4	32.8	35.0	25.0	35.0
120-124	31.055772282665032	34.0	32.0	35.0	24.0	35.0
125-129	30.571514473761294	34.0	31.2	35.0	21.6	35.0
130-134	30.005961529918704	34.0	30.8	35.0	18.2	35.0
135-139	29.41481079459382	34.0	30.0	35.0	10.0	35.0
140-144	28.682111611778843	33.0	29.0	35.0	2.0	35.0
145-149	27.694510960503045	33.0	27.8	35.0	2.0	35.0
150	27.09705850730625	33.0	27.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.11749137166358992
1101	2	-0.06743813415385347
1101	3	-0.04978148802319993
1101	4	-0.011704151609215785
1101	5	-0.12872786257625535
1101	6	-0.055783208449661004
1101	7	-0.06486035585221117
1101	8	-0.08575033977035673
1101	9	-0.10628299480237757
1101	10-14	-0.09696337384456655
1101	15-19	-0.14039243780077726
1101	20-24	-0.19844684013899183
1101	25-29	-0.2957900255500334
1101	30-34	-0.41013948869107963
1101	35-39	-0.6425943732116721
1101	40-44	-0.8375330821944473
1101	45-49	-1.0055653107456592
1101	50-54	-0.7884208065800777
1101	55-59	-0.5105573705779776
1101	60-64	-0.6338019159346828
1101	65-69	-0.6800363628338815
1101	70-74	-0.920148265951731
1101	75-79	-1.1381979945223435
1101	80-84	-1.3525178612070903
1101	85-89	-1.5746712243900625
1101	90-94	-1.8655507297184322
1101	95-99	-2.168508640882596
1101	100-104	-2.512017902782098
1101	105-109	-2.5873757805262407
1101	110-114	-2.8677623902516167
1101	115-119	-2.9811086236086233
1101	120-124	-3.1968959267318695
1101	125-129	-3.2463696132304385
1101	130-134	-3.349183976947284
1101	135-139	-3.5619328119590037
1101	140-144	-3.5523960338887832
1101	145-149	-3.3350443354931194
1101	150	-3.2418667972781883
1102	1	-0.16580180723413918
1102	2	-0.15952622291038665
1102	3	-0.09414127545372963
1102	4	-0.0505292006069169
1102	5	-0.13591901780272764
1102	6	-0.09606776666935701
1102	7	-0.09740723297822029
1102	8	-0.07266546734773982
1102	9	-0.09887104833653382
1102	10-14	-0.13935297581238615
1102	15-19	-0.2619219961314485
1102	20-24	-0.30407892743645704
1102	25-29	-0.36582092474358774
1102	30-34	-0.42355154323654887
1102	35-39	-0.6658200193493187
1102	40-44	-0.9322131134217386
1102	45-49	-1.0708298404593535
1102	50-54	-0.8740581434594503
1102	55-59	-0.6179789284107073
1102	60-64	-0.6831694957133791
1102	65-69	-0.7510111252758236
1102	70-74	-0.963865384896252
1102	75-79	-1.1683391059862203
1102	80-84	-1.4104045860373233
1102	85-89	-1.6784372397161391
1102	90-94	-1.9718482015236418
1102	95-99	-2.2221133763142866
1102	100-104	-2.5333035871529077
1102	105-109	-2.6169454595586963
1102	110-114	-2.79457564312996
1102	115-119	-2.8984010262862903
1102	120-124	-3.015261540812329
1102	125-129	-3.1390898230593187
1102	130-134	-3.0929592658914054
1102	135-139	-3.2544089065788597
1102	140-144	-3.217572681355236
1102	145-149	-3.055816197734053
1102	150	-2.960052786877455
1103	1	0.1421448688176028
1103	2	0.1284437637964828
1103	3	0.14442307272490496
1103	4	0.016560640356011902
1103	5	0.0019089236329463688
1103	6	-0.012484497048085075
1103	7	-0.013238256973394869
1103	8	0.026598642202870337
1103	9	0.11261176546921092
1103	10-14	0.029181139074701434
1103	15-19	0.05390965888920363
1103	20-24	0.015721146479577897
1103	25-29	0.04135998753856995
1103	30-34	-0.03798884705395977
1103	35-39	-0.05311046331446789
1103	40-44	-0.0718951941766548
1103	45-49	-0.06752627862165639
1103	50-54	-0.12459195516747457
1103	55-59	-0.06185405879276118
1103	60-64	-0.1684726970060666
1103	65-69	-0.1324000898160662
1103	70-74	-0.30022622075834704
1103	75-79	-0.31190623856480926
1103	80-84	-0.3504428376550095
1103	85-89	-0.503756664100429
1103	90-94	-0.601338360179227
1103	95-99	-0.8031261062495751
1103	100-104	-0.8591878223722489
1103	105-109	-0.8365808071397289
1103	110-114	-0.9290950462314775
1103	115-119	-0.895486190489887
1103	120-124	-1.0159520834756002
1103	125-129	-1.0929263504572262
1103	130-134	-1.1962085021713023
1103	135-139	-1.160071657588972
1103	140-144	-1.1071760345099406
1103	145-149	-1.0854838609907418
1103	150	-1.1081349641792677
1104	1	0.1389572464194515
1104	2	0.1655697227863513
1104	3	0.09801311914383604
1104	4	0.05630332610792266
1104	5	0.024614497202499308
1104	6	0.05364483888861571
1104	7	0.029467450187823374
1104	8	0.0413371427783602
1104	9	-0.001122751987253423
1104	10-14	0.012980978681198962
1104	15-19	0.016069944675180636
1104	20-24	0.014393203569973423
1104	25-29	0.09283690602970296
1104	30-34	0.03274151110947798
1104	35-39	0.022794442797724912
1104	40-44	-0.03396338520771991
1104	45-49	-0.07839212378306115
1104	50-54	-0.11101553509849538
1104	55-59	-0.086201473940136
1104	60-64	-0.15175779122367317
1104	65-69	-0.19669383451153521
1104	70-74	-0.32976308767474904
1104	75-79	-0.22753070237170192
1104	80-84	-0.3744252970692301
1104	85-89	-0.3813333029257606
1104	90-94	-0.5517751005592686
1104	95-99	-0.622241403789527
1104	100-104	-0.6707116899845786
1104	105-109	-0.7536013873533811
1104	110-114	-0.7830828618365722
1104	115-119	-0.6809441531585279
1104	120-124	-0.9382818887365261
1104	125-129	-1.011586851868497
1104	130-134	-1.0137818179039328
1104	135-139	-0.9103563957012923
1104	140-144	-0.5634454705318497
1104	145-149	-0.5418875983845943
1104	150	-0.6508160403770304
1105	1	0.17619039621921218
1105	2	0.13884623996872847
1105	3	0.08651235532714452
1105	4	0.06582267328164448
1105	5	0.05504672576007863
1105	6	0.023090228714856664
1105	7	0.022236444980194392
1105	8	-0.06941316919763807
1105	9	0.021625076613219107
1105	10-14	0.03176224427028984
1105	15-19	0.0025339940070168154
1105	20-24	-0.061295591246945946
1105	25-29	-0.13515344019760533
1105	30-34	-0.22567205017224268
1105	35-39	-0.23356458368178323
1105	40-44	-0.29466319048496814
1105	45-49	-0.3883989771535781
1105	50-54	-0.42196593130412907
1105	55-59	-0.3091381975938958
1105	60-64	-0.42752871770301226
1105	65-69	-0.42993594497666976
1105	70-74	-0.4100287995317018
1105	75-79	-0.4773818241643326
1105	80-84	-0.6649831085906612
1105	85-89	-0.8064296930177406
1105	90-94	-0.8896534928611146
1105	95-99	-0.8830583846078603
1105	100-104	-0.8787762888292932
1105	105-109	-0.9094386407835664
1105	110-114	-0.9083611537466396
1105	115-119	-0.8633452882383033
1105	120-124	-0.9928292787834465
1105	125-129	-1.0787590517382704
1105	130-134	-1.1227188616924622
1105	135-139	-1.3547580001048587
1105	140-144	-1.4405487637240135
1105	145-149	-1.6394953680243205
1105	150	-1.701727181222342
1106	1	0.1228140867549925
1106	2	0.10787005496843705
1106	3	0.06336026131178585
1106	4	0.047017797542636686
1106	5	0.008652346478811523
1106	6	0.0019618008836346235
1106	7	-0.010561603281139753
1106	8	-0.006633294473282092
1106	9	-0.033099592046674786
1106	10-14	-0.02805236761420815
1106	15-19	-0.04166377736718374
1106	20-24	-0.05832130928204293
1106	25-29	-0.07254988936807649
1106	30-34	-0.10255017022581825
1106	35-39	-0.1549879369022733
1106	40-44	-0.12263713423269706
1106	45-49	-0.2881130708893451
1106	50-54	-0.23976765485892315
1106	55-59	-0.09489519530755786
1106	60-64	-0.1312459500942964
1106	65-69	-0.19638029021074033
1106	70-74	-0.26127682096114313
1106	75-79	-0.3207942552243992
1106	80-84	-0.3900082494017596
1106	85-89	-0.512595617861372
1106	90-94	-0.7011039485524115
1106	95-99	-0.788614391119669
1106	100-104	-1.009441314015202
1106	105-109	-0.7965029606738945
1106	110-114	-0.9636026182721693
1106	115-119	-0.9744469292681082
1106	120-124	-1.0280444525594383
1106	125-129	-1.1135534833304597
1106	130-134	-1.3153168657600922
1106	135-139	-1.3631669813495826
1106	140-144	-1.3688753552613662
1106	145-149	-1.3882989810858213
1106	150	-1.3200321719551908
1107	1	0.1393270375673623
1107	2	0.10228006073457863
1107	3	0.0777623152661917
1107	4	0.03172206348113349
1107	5	-0.005049070899275421
1107	6	-0.04146544435282351
1107	7	-0.01471868966829959
1107	8	-0.03952187276698993
1107	9	0.002240675036418338
1107	10-14	-0.01908515409871825
1107	15-19	-0.0639661647800267
1107	20-24	-0.10339557172634528
1107	25-29	-0.1203397746060304
1107	30-34	-0.10553770759430137
1107	35-39	-0.1499847662431648
1107	40-44	-0.22080915219545005
1107	45-49	-0.20526259802255709
1107	50-54	-0.2288454891477727
1107	55-59	-0.18214440048586766
1107	60-64	-0.18945508130494915
1107	65-69	-0.18091969625498905
1107	70-74	-0.2644998930062883
1107	75-79	-0.376318679365113
1107	80-84	-0.3994359634068658
1107	85-89	-0.48890878120135994
1107	90-94	-0.5234034600839692
1107	95-99	-0.5521361378149159
1107	100-104	-0.6897561942563151
1107	105-109	-0.49241288232050096
1107	110-114	-0.650672656046865
1107	115-119	-0.75709199231461
1107	120-124	-0.9429689822450058
1107	125-129	-0.9680305834068115
1107	130-134	-0.9262206258310677
1107	135-139	-1.1804267266327777
1107	140-144	-1.165881706645166
1107	145-149	-1.1565166105256388
1107	150	-1.3708317388474711
1108	1	0.041488516262511155
1108	2	0.08685914119920568
1108	3	0.033358843939161886
1108	4	-0.013725341828703108
1108	5	-0.021532239048724477
1108	6	-0.005077089640678878
1108	7	-0.008737553738519921
1108	8	0.05050862813817503
1108	9	-0.0030938135275064838
1108	10-14	-0.03645411643397978
1108	15-19	-0.05828912217032922
1108	20-24	-0.12357561863997546
1108	25-29	-0.1064318549368295
1108	30-34	-0.1454056309264402
1108	35-39	-0.06945364193613557
1108	40-44	-0.19064812432198153
1108	45-49	-0.22171287027659758
1108	50-54	-0.24547334288430278
1108	55-59	-0.052805769997640084
1108	60-64	-0.12460959339612288
1108	65-69	-0.1382134981611145
1108	70-74	-0.23384084804386873
1108	75-79	-0.21514111901488775
1108	80-84	-0.3496927204491911
1108	85-89	-0.3743895754928346
1108	90-94	-0.5046107464895897
1108	95-99	-0.43393717047836233
1108	100-104	-0.4261732888513876
1108	105-109	-0.281550333628239
1108	110-114	-0.30210957975234365
1108	115-119	-0.3727388862235905
1108	120-124	-0.4344330961338372
1108	125-129	-0.49522358440003345
1108	130-134	-0.44693517821443507
1108	135-139	-0.597343106252822
1108	140-144	-0.7362336997701391
1108	145-149	-0.8732663270010583
