##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR2589044_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1107090
Total Bases	166 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.821840139464726	34.0	31.0	34.0	31.0	34.0
2	33.0142273889205	34.0	31.0	34.0	31.0	34.0
3	33.12146979920332	34.0	33.0	34.0	31.0	34.0
4	36.566376717340056	37.0	37.0	37.0	35.0	37.0
5	36.52300987272941	37.0	37.0	37.0	35.0	37.0
6	36.528569492995146	37.0	37.0	37.0	35.0	37.0
7	36.500307111436285	37.0	37.0	37.0	35.0	37.0
8	36.49521809428321	37.0	37.0	37.0	35.0	37.0
9	38.306862134063174	39.0	39.0	39.0	37.0	39.0
10-14	38.578459384512556	39.4	39.2	39.4	37.2	39.4
15-19	39.78953219702102	41.0	40.0	41.0	38.0	41.0
20-24	39.65734529261397	41.0	40.0	41.0	37.4	41.0
25-29	39.406846417183786	41.0	39.2	41.0	36.8	41.0
30-34	39.213125942786945	40.0	39.0	41.0	36.0	41.0
35-39	38.97399380357514	40.0	38.6	41.0	35.4	41.0
40-44	38.56683630057177	40.0	37.8	41.0	35.0	41.0
45-49	37.84495497204382	39.6	36.4	41.0	34.0	41.0
50-54	37.00459149662629	38.2	35.0	40.4	33.0	41.0
55-59	36.01808163744592	36.4	35.0	39.4	32.8	41.0
60-64	35.05382037594053	35.0	35.0	37.6	32.0	40.0
65-69	34.27207327317562	35.0	34.2	35.8	31.0	38.4
70-74	33.70382931830294	35.0	34.0	35.0	31.0	36.6
75-79	33.255242121236755	35.0	34.0	35.0	30.0	35.8
80-84	32.92317246113685	35.0	33.2	35.0	29.2	35.0
85-89	32.63320163672331	35.0	33.0	35.0	29.0	35.0
90-94	32.34160781869586	35.0	33.0	35.0	27.8	35.0
95-99	32.07739786286571	35.0	33.0	35.0	27.0	35.0
100-104	31.339699572753794	33.8	31.8	34.8	26.0	35.0
105-109	32.11113911244795	35.0	33.0	35.0	27.0	35.0
110-114	31.89066796737393	35.0	33.0	35.0	27.0	35.0
115-119	31.47048388116594	34.6	33.0	35.0	25.0	35.0
120-124	31.023145001761378	34.0	32.0	35.0	23.8	35.0
125-129	30.509188954827522	34.0	31.2	35.0	20.8	35.0
130-134	29.91843499625143	34.0	31.0	35.0	16.2	35.0
135-139	29.308473565834753	34.0	30.0	35.0	5.2	35.0
140-144	28.561218690440704	33.2	29.0	35.0	2.0	35.0
145-149	27.577741827674355	33.0	27.8	35.0	2.0	35.0
150	26.986139338265183	33.0	27.0	35.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.17814742657894556
1101	2	-0.07734542714093351
1101	3	-0.10818975638494521
1101	4	-0.060910255769194066
1101	5	-0.18264809147025574
1101	6	-0.10441719128181859
1101	7	-0.17279899016822498
1101	8	-0.0880421513525178
1101	9	-0.12439908231618091
1101	10-14	-0.15215109419558104
1101	15-19	-0.19487750201405873
1101	20-24	-0.24230852540024728
1101	25-29	-0.32950368251375295
1101	30-34	-0.4526685720124419
1101	35-39	-0.644680502386926
1101	40-44	-0.9139751187330702
1101	45-49	-1.1115612795763425
1101	50-54	-0.8537421519780679
1101	55-59	-0.48575172907595743
1101	60-64	-0.6011067332449542
1101	65-69	-0.7018796376159102
1101	70-74	-0.9053381887397691
1101	75-79	-1.207377303585087
1101	80-84	-1.40412188012656
1101	85-89	-1.7304816053527539
1101	90-94	-1.932060700825538
1101	95-99	-2.2062463254453952
1101	100-104	-2.5465610712473286
1101	105-109	-2.5905512799204153
1101	110-114	-2.856820920646836
1101	115-119	-2.975150127231018
1101	120-124	-3.151107689960501
1101	125-129	-3.363940540665734
1101	130-134	-3.4561430354418654
1101	135-139	-3.6691323089048424
1101	140-144	-3.6129304797253
1101	145-149	-3.3928985687255846
1101	150	-3.1972658843892496
1102	1	-0.21488918666089774
1102	2	-0.19352859991160898
1102	3	-0.1325532518570114
1102	4	-0.06453522868040551
1102	5	-0.12656657554860828
1102	6	-0.12730919073019464
1102	7	-0.17720280689695045
1102	8	-0.09948248705653384
1102	9	-0.12468688021080965
1102	10-14	-0.15282181268884898
1102	15-19	-0.31002571875066565
1102	20-24	-0.30612233181881265
1102	25-29	-0.4120188358199002
1102	30-34	-0.48754527696460315
1102	35-39	-0.6845947376292827
1102	40-44	-0.921575642778059
1102	45-49	-1.1633895924535267
1102	50-54	-0.9041994764591124
1102	55-59	-0.6118571159695776
1102	60-64	-0.7737209166081698
1102	65-69	-0.8381503153939107
1102	70-74	-0.9770774205344566
1102	75-79	-1.1620458681089474
1102	80-84	-1.4591375423736466
1102	85-89	-1.737001697027793
1102	90-94	-1.9666404469460943
1102	95-99	-2.305779314668982
1102	100-104	-2.68191857763372
1102	105-109	-2.760048873122276
1102	110-114	-2.9246120184488653
1102	115-119	-3.0802042391454876
1102	120-124	-3.314132769256787
1102	125-129	-3.3819096036233702
1102	130-134	-3.314961405911472
1102	135-139	-3.4056753850095696
1102	140-144	-3.4413159877140274
1102	145-149	-3.330186471691892
1102	150	-3.238537875563228
1103	1	-0.16004877661440275
1103	2	-0.1088442510192138
1103	3	-0.0969620015151591
1103	4	-0.09290898147035875
1103	5	-0.12552954962075802
1103	6	-0.08896481519536081
1103	7	-0.14855976260169257
1103	8	-0.15751998937231093
1103	9	-0.19728156231008853
1103	10-14	-0.19224101641526659
1103	15-19	-0.2885794403107482
1103	20-24	-0.35620018595588476
1103	25-29	-0.4327497383985701
1103	30-34	-0.6495473413122568
1103	35-39	-0.7678807556438016
1103	40-44	-0.8963426096867408
1103	45-49	-0.9277999741814114
1103	50-54	-0.7482083690336339
1103	55-59	-0.5141007707471275
1103	60-64	-0.5977879461530478
1103	65-69	-0.760021725943254
1103	70-74	-0.8226078431964083
1103	75-79	-1.0599657731842456
1103	80-84	-1.2617622633779462
1103	85-89	-1.4503754939277442
1103	90-94	-1.714430095213011
1103	95-99	-2.015263492414608
1103	100-104	-2.3189408443580213
1103	105-109	-2.461952086976339
1103	110-114	-2.5147183676412155
1103	115-119	-2.630009493527819
1103	120-124	-2.692731879999336
1103	125-129	-2.8208499051592817
1103	130-134	-2.934146253246791
1103	135-139	-2.9355356004427726
1103	140-144	-2.8011934060443764
1103	145-149	-2.5520722179888544
1103	150	-2.5100626697901127
1104	1	0.24027967375196368
1104	2	0.1835744624276785
1104	3	0.15211334483877437
1104	4	0.07188533130928931
1104	5	-0.05407467388314302
