##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR2589044_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1107090
Total Bases	166 Mbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	50
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.057234732496905	31.0	31.0	34.0	28.0	34.0
2	31.250946174204447	33.0	31.0	34.0	28.0	34.0
3	31.336162371622905	34.0	31.0	34.0	28.0	34.0
4	34.8134063174629	37.0	35.0	37.0	32.0	37.0
5	34.79829462825967	37.0	35.0	37.0	32.0	37.0
6	34.84616517175659	37.0	35.0	37.0	32.0	37.0
7	34.7691154287366	37.0	35.0	37.0	32.0	37.0
8	34.760933618766316	37.0	35.0	37.0	32.0	37.0
9	36.328271414248164	39.0	37.0	39.0	32.0	39.0
10-14	36.48540769043167	39.2	37.2	39.4	32.0	39.4
15-19	37.331778084889216	40.0	38.0	41.0	32.0	41.0
20-24	36.995974672339194	40.0	38.0	41.0	31.0	41.0
25-29	36.55321807621784	40.0	37.4	41.0	30.0	41.0
30-34	36.01989214968973	40.0	36.6	41.0	28.0	41.0
35-39	35.69823302531863	39.6	36.0	41.0	27.0	41.0
40-44	35.251251298449084	39.2	35.2	40.8	25.8	41.0
45-49	34.351664634311575	38.0	34.2	40.0	23.2	41.0
50-54	33.55944322503139	36.8	33.6	39.8	21.4	41.0
55-59	32.564309857373836	35.2	33.0	38.6	19.0	40.6
60-64	31.522040845821028	35.0	32.0	36.6	13.4	39.4
65-69	30.610773107877407	35.0	31.0	35.4	6.4	38.0
70-74	29.999893052958658	35.0	31.0	35.0	2.0	36.4
75-79	29.450327254333434	34.2	30.0	35.0	2.0	35.4
80-84	28.925632785049096	34.0	29.2	35.0	2.0	35.0
85-89	28.420266825642	34.0	29.0	35.0	2.0	35.0
90-94	27.909038650877523	34.0	27.2	35.0	2.0	35.0
95-99	27.39917856723482	33.2	25.8	35.0	2.0	35.0
100-104	26.591463747301486	32.2	24.6	34.6	2.0	35.0
105-109	27.38558744094879	33.8	27.0	35.0	2.0	35.0
110-114	27.024146185043673	33.8	25.0	35.0	2.0	35.0
115-119	26.426792040394183	33.0	24.0	35.0	2.0	35.0
120-124	25.751967590710784	33.0	20.8	35.0	2.0	35.0
125-129	25.00730979414501	32.8	17.4	35.0	2.0	35.0
130-134	24.176128589364914	32.0	7.0	35.0	2.0	35.0
135-139	23.25685843066056	31.0	2.0	34.8	2.0	35.0
140-144	22.1881543505948	30.6	2.0	34.0	2.0	35.0
145-149	20.856310507727464	29.4	2.0	34.0	2.0	35.0
150	20.067672908254973	29.0	2.0	34.0	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.032781632141908545
1101	2	0.0575131940548097
1101	3	0.1778833855145372
1101	4	0.205018613504798
1101	5	0.15928860213698925
1101	6	0.2657691544560876
1101	7	0.18846636660138216
1101	8	0.1917442621983554
1101	9	0.29667282898132186
1101	10-14	0.27606603287489406
1101	15-19	0.2782502848841588
1101	20-24	0.2709714548657516
1101	25-29	0.1933187429204679
1101	30-34	0.4267823597770146
1101	35-39	0.16720397051774682
1101	40-44	-0.04846891629470207
1101	45-49	-0.19635315902250738
1101	50-54	-0.4460494738062124
1101	55-59	-0.23875505962931243
1101	60-64	-0.17477916642913272
1101	65-69	-0.24649064429472034
1101	70-74	0.24128793611306065
1101	75-79	0.34964216008039983
1101	80-84	0.3134709714024879
1101	85-89	0.37247122795116283
1101	90-94	0.445922388600799
1101	95-99	0.4717173729225621
1101	100-104	0.40063257652506223
1101	105-109	0.3932813795179797
1101	110-114	0.4763473219337726
1101	115-119	0.5631561190975098
1101	120-124	0.703957022983861
1101	125-129	0.77636842952721
1101	130-134	0.9203507673348419
1101	135-139	1.0978078014253612
1101	140-144	1.19528403650542
1101	145-149	1.2990250587793462
1101	150	1.4428992907176514
1102	1	-0.10925508384277904
1102	2	-0.1429729266331492
1102	3	-0.16069368127821448
1102	4	-0.14878366786402353
1102	5	-0.037766928245147824
1102	6	0.011710432521716996
1102	7	0.002907976299496795
1102	8	0.013323194013402428
1102	9	0.04125129454079968
1102	10-14	0.029124538098926678
1102	15-19	-0.12694094557087254
1102	20-24	-0.26847583526998875
1102	25-29	-0.334146468503441
1102	30-34	-0.13865145491595143
1102	35-39	-0.1998010269539563
1102	40-44	-0.3478097885209763
1102	45-49	-0.6353273639254198
1102	50-54	-0.8246851508946804
1102	55-59	-0.6460257571082408
1102	60-64	-0.6287672604945591
1102	65-69	-0.7112433975010468
1102	70-74	-0.35686247399482696
1102	75-79	-0.21477978151288113
1102	80-84	-0.05326737384991276
1102	85-89	-0.13754653572949493
1102	90-94	-0.2364591594990486
1102	95-99	-0.22839617016011715
1102	100-104	-0.12168070781860152
1102	105-109	-0.18071800975288355
1102	110-114	-0.09087376201192754
1102	115-119	0.11645366239032384
1102	120-124	0.2532454907104409
1102	125-129	0.3545034400672087
1102	130-134	0.40042986660787605
1102	135-139	0.5647581616242086
1102	140-144	0.8476807543288558
1102	145-149	0.8158048416749928
1102	150	0.9413445582235767
1103	1	-0.027437002274577793
1103	2	-0.02843736074605374
1103	3	-0.045447503409079104
1103	4	-0.03802082965065523
1103	5	0.0017664321423183083
1103	6	0.06774291512031994
1103	7	0.017500444077150235
1103	8	0.023672059945496926
1103	9	0.07607436936016398
1103	10-14	-0.028212585753117025
1103	15-19	-0.03496084799957089
1103	20-24	-0.07662661204695809
1103	25-29	-0.1696450437506769
1103	30-34	-0.15479981446532065
